name,orcid,title,abstract,doi
Elena Marlowe,0000-0001-2345-6789,Bat foraging ecology in urban green spaces,"Urban green spaces have become critical refugia for insectivorous bats, yet the factors governing species-specific habitat use remain poorly understood. We surveyed 12 city parks across three European cities using acoustic detectors and found that tree canopy cover and proximity to water bodies were the strongest predictors of bat activity, explaining 67% of variance in nightly call rates.",10.1234/bat-foraging
Elena Marlowe,0000-0001-2345-6789,Acoustic monitoring of Pipistrellus species,"Full-spectrum acoustic monitoring was deployed across a rural–urban gradient to characterise niche partitioning among sympatric Pipistrellus species. Call libraries were compared using dynamic time warping, revealing significant spectral overlap between P. pygmaeus and P. pipistrellus in intermediate-intensity urban zones, with implications for automated species identification pipelines.",10.1234/pipistrellus-acoustics
Elena Marlowe,0000-0001-2345-6789,Roost selection by Myotis daubentonii along lowland waterways,"We tracked 34 radio-tagged Daubenton's bats over two breeding seasons to characterise roost switching behaviour along canalised versus naturalised river reaches. Roost persistence was significantly lower in canalised sections, and bats commuting from these roosts travelled 1.8x further to reach preferred foraging habitat.",10.1234/myotis-roost-selection
Elena Marlowe,0000-0001-2345-6789,Light pollution effects on bat community composition in suburban corridors,"Using paired-site acoustic surveys across 40 suburban greenway corridors, we quantified shifts in bat community composition under varying artificial light at night (ALAN) intensities. Light-tolerant genera such as Pipistrellus increased in relative activity under high ALAN, while light-averse Myotis and Plecotus species showed activity reductions of up to 54%.",10.1234/alan-bat-community
Raj Kapadia,0000-0002-9876-5432,CRISPR-Cas9 off-target effects in primary haematopoietic cells,"Off-target editing remains a key safety concern for therapeutic genome editing. Using CIRCLE-seq and targeted amplicon sequencing in CD34+ progenitor cells, we identified 23 reproducible off-target sites for a clinically relevant sgRNA targeting BCL11A, of which 4 fell within annotated regulatory elements, underscoring the need for cell-type-specific off-target profiling.",10.5678/crispr-offtarget
Raj Kapadia,0000-0002-9876-5432,Base editing efficiency across chromatin accessibility states,"We systematically evaluated adenine base editor (ABE8e) efficiency at 1,200 genomic loci stratified by ATAC-seq accessibility in K562 and HEK293T cells. Editing efficiency correlated positively with chromatin accessibility (r = 0.61, p < 0.001) and was further modulated by local GC content and distance from the PAM-distal end of the protospacer.",10.5678/base-editing
Raj Kapadia,0000-0002-9876-5432,Prime editing correction of pathogenic SERPINA1 variants in iPSC-derived hepatocytes,"We applied PE3b prime editing to correct the Z allele of SERPINA1 in patient-derived induced pluripotent stem cells, achieving 41% precise correction without detectable indels at the target locus. Corrected hepatocyte-like cells showed restored alpha-1 antitrypsin secretion and reduced ER stress marker expression.",10.5678/prime-editing-serpina1
Raj Kapadia,0000-0002-9876-5432,Long-read sequencing reveals structural variant signatures of Cas9 large deletions,"Short-read sequencing underestimates the frequency of large on-target deletions following Cas9 editing. Using long-read nanopore sequencing across 15 edited loci, we detected megabase-scale deletions and complex rearrangements in 6% of clones, at rates 3-4x higher than short-read amplicon sequencing estimates.",10.5678/longread-cas9-deletions
Priya Chandrasekaran,0000-0003-1111-2222,Machine learning prediction of preterm birth from microbiome data,"Preterm birth affects 11% of pregnancies globally and its aetiology remains multifactorial. We trained gradient-boosted classifiers on 16S rRNA amplicon profiles from 780 pregnant individuals sampled at 16 weeks gestation, achieving AUROC 0.81 for spontaneous preterm birth before 34 weeks, with Lactobacillus crispatus abundance and community state type as the top predictive features.",10.9012/preterm-microbiome
Priya Chandrasekaran,0000-0003-1111-2222,Bat foraging ecology in urban green spaces,"Urban green spaces have become critical refugia for insectivorous bats, yet the factors governing species-specific habitat use remain poorly understood. We surveyed 12 city parks across three European cities using acoustic detectors and found that tree canopy cover and proximity to water bodies were the strongest predictors of bat activity, explaining 67% of variance in nightly call rates.",10.1234/bat-foraging
Priya Chandrasekaran,0000-0003-1111-2222,Vaginal microbiome dynamics across the second and third trimester,"Longitudinal 16S profiling of 210 pregnancies from 20 to 36 weeks gestation revealed that transitions away from Lactobacillus-dominant community state types were significantly associated with subsequent spontaneous preterm birth, with the steepest divergence occurring between 24 and 28 weeks.",10.9012/vaginal-microbiome-trimester
Priya Chandrasekaran,0000-0003-1111-2222,Antibiotic exposure and gut microbiome maturation in preterm infants,"We characterised gut microbiome development in 95 preterm infants exposed to varying durations of empirical antibiotics in the neonatal intensive care unit. Extended antibiotic courses (>5 days) delayed the establishment of a Bifidobacterium-dominant community by a median of 3 weeks relative to infants receiving shorter courses.",10.9012/preterm-gut-antibiotics
